,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KRT5,472.11881669163273,-10.94136028526871,1.1257168246339337,-9.719460565783653,2.4909761034021577e-22,4.0774787836589916e-18
FAT2,17.573031972043268,-3.679643398015111,0.5346550513902547,-6.882275568980401,5.8903923503764646e-12,3.213994412777078e-08
TGM1,36.40730965639582,-2.9290745005596515,0.4254282486985274,-6.885002370012553,5.778657289462073e-12,3.213994412777078e-08
DLX3,75.97777242885117,-6.830254477790406,1.0339079652856378,-6.606249982708483,3.9417707542425457e-11,1.395092948560128e-07
TP63,22.30473089328533,-4.90124366888282,0.743210363901079,-6.594692306437177,4.261387221455581e-11,1.395092948560128e-07
CLCA2,37.649005442351616,-6.595865436625486,1.0594546304370118,-6.225717692040078,4.793565451683161e-10,1.3077645479766942e-06
MYH7B,234.1561194862097,-4.11526214855813,0.6910613682780777,-5.954987990158031,2.600909296375675e-09,6.0820406103390615e-06
SLC10A4,10.502114133821737,-3.666707486025398,0.619137721173594,-5.922280876498761,3.1750672107997232e-09,6.496584396697584e-06
GDNF-AS1,3.923538576272785,-4.292621430220322,0.7287179534913352,-5.890648651723336,3.8468265534054486e-09,6.99652265029931e-06
IGFN1,45.35177654524939,-4.785628107526702,0.839756478138766,-5.698828448615908,1.2063353887290769e-08,1.974650397810626e-05
FREM2,214.95026513652962,-4.649780806893524,0.8628862621229334,-5.388636962945507,7.099404885204431e-08,0.00010564559869628302
RBP7,42.84141685068366,-2.8072754164259472,0.5297920066697405,-5.2988255411258685,1.1654992772973423e-07,0.00015898381391733497
NCCRP1,30.107632674303456,-4.351807251499224,0.8326975562134639,-5.226155906219123,1.7307044279747714e-07,0.00021792231370399256
TFAP2E,31.778450783182734,-2.830328928889282,0.547390930657223,-5.170580604050304,2.3336778586248134e-07,0.0002728569490559255
ASCL5,63.064141764871586,-3.308151474180761,0.659751670145178,-5.014237362146887,5.324422524751065e-07,0.0005810364820510013
GP2,253.70849866194453,6.298038451191477,1.2701069511385394,4.958667807892743,7.097821438490073e-07,0.0006834367007449647
LINC00261,1661.5359635178797,4.020611960930699,0.8089784329070246,4.969986587260214,6.695753334757825e-07,0.0006834367007449647
TFF2,512.3159064304368,4.861584142776059,1.0033741741902502,4.845235474293015,1.264616011168732e-06,0.0011500277492678319
PTPRT,9.68514306616505,-3.4950994820749792,0.7312913541021536,-4.779352938427809,1.7586024919163095e-06,0.0015150823257988456
OLFM1,176.8257937223576,-2.6174992128799706,0.5511981199864349,-4.748744812381414,2.0468301461239043e-06,0.0015954553648524852
CEL,1673.3052309800757,-4.568947900311361,0.9613899176607826,-4.752440000024497,2.0097641980203476e-06,0.0015954553648524852
AKR1C2,117.92785661612814,-2.6498953413797626,0.5626791162059749,-4.709425434601947,2.4841607157901934e-06,0.0016293729548990954
CCNJL,351.2453532737784,2.2817130117009774,0.48391346701838567,4.7151260859915,2.4156111586694837e-06,0.0016293729548990954
MNS1,85.97320703569991,2.2117011242050726,0.46727060096039347,4.733234061075756,2.2097042415755396e-06,0.0016293729548990954
XG,30.579668994004194,-3.6016690246676966,0.764836693897821,-4.709069339119424,2.4885041158578646e-06,0.0016293729548990954
CKMT2,542.4503533770401,-4.404390029727653,0.9402580649560591,-4.68423531143387,2.8100703493527286e-06,0.0017691554441751853
PLA2G4E,25.610967837750692,-2.4870424397978987,0.5367421659532875,-4.633588708986104,3.5938065540673345e-06,0.002178778499389933
NOTUM,3350.202927886638,-4.661368615765957,1.0314271065905536,-4.519338871337598,6.20330374433316e-06,0.003626495678249625
KBTBD12,82.05621203246146,4.790719382530074,1.0935947148028367,4.380708243815707,1.1829417669797104e-05,0.006394327556716007
SLC44A5,201.34806533034086,4.232823374480999,0.9673123381735632,4.375860006575778,1.2095462876112853e-05,0.006394327556716007
SUSD2,221.42401635221552,-2.471230544427524,0.5647748649100163,-4.375602913598602,1.2109729015712396e-05,0.006394327556716007
CDH26,26.84702638049113,-2.840038415724696,0.6513465029808962,-4.360257409423741,1.2990953305637127e-05,0.006645278583124191
CSTA,98.58995775273735,-2.609317525111551,0.6051874050589383,-4.311585970394466,1.62087729394734e-05,0.008040042552916366
NKD1,4440.295149862325,-2.9171469963220718,0.6819728519388004,-4.277511909790587,1.8899384962385516e-05,0.009029661733190005
SBSN,13.054583167405513,-3.96287375120702,0.9274747182302666,-4.272756629710252,1.930711470839087e-05,0.009029661733190005
